Date,Product,Region,Units_Sold,Unit_Price,Customer_Rating,Marketing_Spend,Sales_Revenue
2026-01-02,Phone,West,45,557.86,4.42,1101.11,25103.7
2026-01-02,Monitor,West,26,460.62,3.76,834.82,11976.12
2026-01-02,Mouse,North,34,495.34,4.56,546.74,16841.56
2026-01-02,Monitor,South,32,378.48,3.0,842.7,12111.36
2026-01-03,Keyboard,West,34,462.99,4.71,1031.94,15741.66
2026-01-03,Laptop,West,32,453.72,4.11,1217.53,14519.04
2026-01-04,Laptop,North,36,379.61,4.18,763.77,13665.96
2026-01-04,Monitor,East,36,232.64,4.47,907.5,8375.04
2026-01-04,Phone,South,36,324.27,4.23,1089.09,11673.72
2026-01-06,Laptop,West,32,348.85,4.43,,11163.2
2026-01-07,Monitor,West,21,383.42,3.73,809.53,8051.82
2026-01-08,Phone,West,40,427.47,4.4,735.69,17098.8
2026-01-09,Laptop,West,44,517.16,3.89,1025.12,22755.04
2026-01-14,Phone,East,36,,4.43,492.6,11326.68
2026-01-14,Keyboard,North,36,276.84,3.88,924.69,9966.24
2026-01-15,Tablet,East,28,375.5,4.34,623.22,10514.0
2026-01-15,Monitor,South,34,413.79,4.45,1079.4,14068.86
2026-01-15,Laptop,East,30,611.97,4.42,1371.71,18359.1
2026-01-18,Mouse,West,37,565.95,4.24,877.69,20940.15
2026-01-18,Laptop,East,26,291.57,4.18,,7580.82
2026-01-21,Phone,South,32,380.5,3.55,438.77,12176.0
2026-01-21,Keyboard,North,37,203.59,4.26,882.6,7532.83
2026-01-21,Monitor,North,36,383.31,3.89,1095.27,13799.16
2026-01-22,Keyboard,East,32,621.66,,858.87,19893.12
2026-01-22,Monitor,East,36,459.31,4.12,695.38,16535.16
2026-01-24,Tablet,East,33,412.79,3.96,1057.04,13622.07
2026-01-24,Laptop,South,44,551.89,,949.64,24283.16
2026-01-26,Laptop,East,37,362.73,4.8,541.41,13421.01
2026-01-30,Mouse,East,39,242.08,4.92,898.34,9441.12
2026-02-02,Phone,South,212,451.5,4.13,645.7,11739.0
2026-02-03,Laptop,East,25,293.61,4.58,744.29,7340.25
2026-02-04,Monitor,South,34,406.75,3.6,482.56,13829.5
2026-02-05,Laptop,West,41,576.6,4.26,695.92,23640.6
2026-02-07,Keyboard,South,31,489.61,4.73,570.21,15177.91
2026-02-08,Phone,West,28,472.41,3.86,706.83,13227.48
2026-02-09,Monitor,East,51,448.37,4.08,649.06,22866.87
