InvoiceNo,CustomerID,Country,InvoiceDate,total_quantity,unique_items,line_items,avg_unit_price,invoice_total,InvoiceHour,InvoiceMonth,high_value_invoice
536365,17850,United Kingdom,2010-12-01 08:26:00,40,7,7,3.91,139.12,8,2010-12,0
536366,17850,United Kingdom,2010-12-01 08:28:00,12,2,2,1.85,22.200000000000003,8,2010-12,0
536367,13047,United Kingdom,2010-12-01 08:34:00,83,12,12,4.8533333333333335,278.73,8,2010-12,0
536368,13047,United Kingdom,2010-12-01 08:34:00,15,4,4,4.775,70.05000000000001,8,2010-12,0
536369,13047,United Kingdom,2010-12-01 08:35:00,3,1,1,5.95,17.85,8,2010-12,0
536370,12583,France,2010-12-01 08:45:00,449,20,20,2.7645,855.86,8,2010-12,1
536371,13748,United Kingdom,2010-12-01 09:00:00,80,1,1,2.55,204.0,9,2010-12,0
536372,17850,United Kingdom,2010-12-01 09:01:00,12,2,2,1.85,22.200000000000003,9,2010-12,0
536373,17850,United Kingdom,2010-12-01 09:02:00,88,16,16,3.319375,259.86,9,2010-12,0
536374,15100,United Kingdom,2010-12-01 09:09:00,32,1,1,10.95,350.4,9,2010-12,0
536375,17850,United Kingdom,2010-12-01 09:32:00,88,16,16,3.319375,259.86,9,2010-12,0
536376,15291,United Kingdom,2010-12-01 09:32:00,112,2,2,3.0,328.8,9,2010-12,0
536377,17850,United Kingdom,2010-12-01 09:34:00,12,2,2,1.85,22.200000000000003,9,2010-12,0
536378,14688,United Kingdom,2010-12-01 09:37:00,454,19,19,1.7552631578947369,444.98,9,2010-12,0
536380,17809,United Kingdom,2010-12-01 09:41:00,24,1,1,1.45,34.8,9,2010-12,0
536381,15311,United Kingdom,2010-12-01 09:41:00,198,34,35,2.52,449.98,9,2010-12,0
536382,16098,United Kingdom,2010-12-01 09:45:00,134,12,12,5.970833333333332,430.6,9,2010-12,0
536384,18074,United Kingdom,2010-12-01 09:53:00,190,13,13,4.780769230769231,489.6,9,2010-12,1
536385,17420,United Kingdom,2010-12-01 09:56:00,53,7,7,5.571428571428571,130.85,9,2010-12,0
536386,16029,United Kingdom,2010-12-01 09:57:00,236,3,3,2.75,508.2000000000001,9,2010-12,1
536387,16029,United Kingdom,2010-12-01 09:58:00,1440,5,5,2.652,3193.92,9,2010-12,1
536388,16250,United Kingdom,2010-12-01 09:59:00,108,14,14,3.376428571428572,226.14,9,2010-12,0
536389,12431,Australia,2010-12-01 10:03:00,107,14,14,5.278571428571429,358.25,10,2010-12,0
536390,17511,United Kingdom,2010-12-01 10:19:00,1568,24,24,2.452916666666667,1825.74,10,2010-12,1
536392,13705,United Kingdom,2010-12-01 10:29:00,103,10,10,18.399,318.14,10,2010-12,0
536393,13747,United Kingdom,2010-12-01 10:37:00,8,1,1,9.95,79.6,10,2010-12,0
536394,13408,United Kingdom,2010-12-01 10:39:00,544,11,11,2.188181818181818,1024.68,10,2010-12,1
536395,13767,United Kingdom,2010-12-01 10:47:00,260,14,14,2.5707142857142857,507.88000000000005,10,2010-12,1
536396,17850,United Kingdom,2010-12-01 10:51:00,102,18,18,5.211666666666667,376.36,10,2010-12,0
536397,17924,United Kingdom,2010-12-01 10:51:00,60,2,2,4.65,279.0,10,2010-12,0
536398,13448,United Kingdom,2010-12-01 10:52:00,150,17,17,3.7523529411764702,426.56,10,2010-12,0
536399,17850,United Kingdom,2010-12-01 10:52:00,12,2,2,1.85,22.200000000000003,10,2010-12,0
536400,13448,United Kingdom,2010-12-01 10:53:00,12,1,1,1.45,17.4,10,2010-12,0
536401,15862,United Kingdom,2010-12-01 11:21:00,124,64,64,3.235,354.23,11,2010-12,0
536402,15513,United Kingdom,2010-12-01 11:22:00,116,3,3,3.1166666666666667,357.0,11,2010-12,0
536403,12791,Netherlands,2010-12-01 11:27:00,97,2,2,8.425,192.6,11,2010-12,0
536404,16218,United Kingdom,2010-12-01 11:29:00,438,28,28,1.1696428571428572,471.3,11,2010-12,1
536405,14045,United Kingdom,2010-12-01 11:32:00,128,1,1,2.55,326.4,11,2010-12,0
536406,17850,United Kingdom,2010-12-01 11:33:00,96,17,17,5.227058823529411,353.14,11,2010-12,0
536407,17850,United Kingdom,2010-12-01 11:34:00,12,2,2,1.85,22.200000000000003,11,2010-12,0
536408,14307,United Kingdom,2010-12-01 11:41:00,558,48,48,2.4031249999999997,783.11,11,2010-12,1
536409,17908,United Kingdom,2010-12-01 11:45:00,169,51,54,2.6622222222222223,232.03,11,2010-12,0
536412,17920,United Kingdom,2010-12-01 11:49:00,197,54,68,2.756764705882353,453.46,11,2010-12,0
536415,12838,United Kingdom,2010-12-01 11:57:00,228,59,59,1.9733898305084747,390.79,11,2010-12,0
536416,13255,United Kingdom,2010-12-01 11:58:00,110,6,6,4.55,225.7,11,2010-12,0
536420,16583,United Kingdom,2010-12-01 12:03:00,111,14,14,2.564285714285714,233.45,12,2010-12,0
536423,18085,United Kingdom,2010-12-01 12:08:00,78,9,9,3.844444444444445,303.90000000000003,12,2010-12,0
536425,13758,United Kingdom,2010-12-01 12:08:00,137,17,17,3.6205882352941177,362.45,12,2010-12,0
