InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,InvoiceMonth,InvoiceDayOfWeek,InvoiceHour
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,2010-12,Wednesday,8
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00,9.95,13047,United Kingdom,19.9,2010-12,Wednesday,8
536370,22540,MINI JIGSAW CIRCUS PARADE,24,2010-12-01 08:45:00,0.42,12583,France,10.08,2010-12,Wednesday,8
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,2.1,17850,United Kingdom,12.6,2010-12,Wednesday,9
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3,2010-12,Wednesday,9
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,2010-12,Wednesday,9
536377,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.1,2010-12,Wednesday,9
536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,2010-12,Wednesday,9
536378,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,96,2010-12-01 09:37:00,0.38,14688,United Kingdom,36.48,2010-12,Wednesday,9
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,2010-12,Wednesday,9
536381,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,2010-12-01 09:41:00,1.45,15311,United Kingdom,5.8,2010-12,Wednesday,9
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,1.65,15311,United Kingdom,3.3,2010-12,Wednesday,9
536381,37444A,YELLOW BREAKFAST CUP AND SAUCER,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95,2010-12,Wednesday,9
536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2010-12-01 09:41:00,2.95,15311,United Kingdom,11.8,2010-12,Wednesday,9
536382,22839,3 TIER CAKE TIN GREEN AND CREAM,2,2010-12-01 09:45:00,14.95,16098,United Kingdom,29.9,2010-12,Wednesday,9
536382,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-01 09:45:00,14.95,16098,United Kingdom,29.9,2010-12,Wednesday,9
536384,22464,HANGING METAL HEART LANTERN,12,2010-12-01 09:53:00,1.65,18074,United Kingdom,19.799999999999997,2010-12,Wednesday,9
536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,1.25,16029,United Kingdom,540.0,2010-12,Wednesday,9
536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,2010-12-01 09:58:00,3.37,16029,United Kingdom,647.04,2010-12,Wednesday,9
536388,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 09:59:00,1.45,16250,United Kingdom,17.4,2010-12,Wednesday,9
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS,96,2010-12-01 10:19:00,0.64,17511,United Kingdom,61.44,2010-12,Wednesday,10
536390,22197,SMALL POPCORN HOLDER,100,2010-12-01 10:19:00,0.72,17511,United Kingdom,72.0,2010-12,Wednesday,10
536392,22127,PARTY CONES CARNIVAL ASSORTED,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,2010-12,Wednesday,10
536392,21889,WOODEN BOX OF DOMINOES,12,2010-12-01 10:29:00,1.25,13705,United Kingdom,15.0,2010-12,Wednesday,10
536395,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 10:47:00,0.55,13767,United Kingdom,13.2,2010-12,Wednesday,10
536395,22729,ALARM CLOCK BAKELIKE ORANGE,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0,2010-12,Wednesday,10
536396,21871,SAVE THE PLANET MUG,6,2010-12-01 10:51:00,1.06,17850,United Kingdom,6.36,2010-12,Wednesday,10
536397,35004C,SET OF 3 COLOURED  FLYING DUCKS,48,2010-12-01 10:51:00,4.65,17924,United Kingdom,223.2,2010-12,Wednesday,10
536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 10:51:00,4.95,17850,United Kingdom,9.9,2010-12,Wednesday,10
536396,71053,WHITE METAL LANTERN,6,2010-12-01 10:51:00,3.39,17850,United Kingdom,20.34,2010-12,Wednesday,10
536398,21844,RED RETROSPOT MUG,6,2010-12-01 10:52:00,2.95,13448,United Kingdom,17.700000000000003,2010-12,Wednesday,10
536398,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-12-01 10:52:00,1.25,13448,United Kingdom,15.0,2010-12,Wednesday,10
536401,21907,I'M ON HOLIDAY METAL SIGN,2,2010-12-01 11:21:00,2.1,15862,United Kingdom,4.2,2010-12,Wednesday,11
536401,22804,CANDLEHOLDER PINK HANGING HEART,3,2010-12-01 11:21:00,2.95,15862,United Kingdom,8.850000000000001,2010-12,Wednesday,11
536401,21463,MIRRORED DISCO BALL,1,2010-12-01 11:21:00,5.95,15862,United Kingdom,5.95,2010-12,Wednesday,11
536401,84709B,PINK OVAL JEWELLED MIRROR,1,2010-12-01 11:21:00,5.95,15862,United Kingdom,5.95,2010-12,Wednesday,11
536401,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-12-01 11:21:00,2.55,15862,United Kingdom,2.55,2010-12,Wednesday,11
536401,22068,BLACK PIRATE TREASURE CHEST,2,2010-12-01 11:21:00,1.65,15862,United Kingdom,3.3,2010-12,Wednesday,11
536401,21033,JUMBO BAG CHARLIE AND LOLA TOYS,4,2010-12-01 11:21:00,2.95,15862,United Kingdom,11.8,2010-12,Wednesday,11
536401,21592,RETROSPOT CIGAR BOX MATCHES,1,2010-12-01 11:21:00,1.25,15862,United Kingdom,1.25,2010-12,Wednesday,11
536401,22809,SET OF 6 T-LIGHTS SANTA,1,2010-12-01 11:21:00,2.95,15862,United Kingdom,2.95,2010-12,Wednesday,11
536401,22117,METAL SIGN HER DINNER IS SERVED,1,2010-12-01 11:21:00,2.95,15862,United Kingdom,2.95,2010-12,Wednesday,11
536403,22867,HAND WARMER BIRD DESIGN,96,2010-12-01 11:27:00,1.85,12791,Netherlands,177.60000000000002,2010-12,Wednesday,11
536404,85049C,ROMANTIC PINKS RIBBONS,12,2010-12-01 11:29:00,1.25,16218,United Kingdom,15.0,2010-12,Wednesday,11
536404,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom,13.2,2010-12,Wednesday,11
536404,21062,PARTY INVITES SPACEMAN,12,2010-12-01 11:29:00,0.85,16218,United Kingdom,10.2,2010-12,Wednesday,11
536404,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-01 11:29:00,1.25,16218,United Kingdom,15.0,2010-12,Wednesday,11
536406,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 11:33:00,2.1,17850,United Kingdom,12.6,2010-12,Wednesday,11
536406,20679,EDWARDIAN PARASOL RED,6,2010-12-01 11:33:00,4.95,17850,United Kingdom,29.700000000000003,2010-12,Wednesday,11
536408,16237,SLEEPING CAT ERASERS,30,2010-12-01 11:41:00,0.21,14307,United Kingdom,6.3,2010-12,Wednesday,11
536408,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 11:41:00,4.95,14307,United Kingdom,14.85,2010-12,Wednesday,11
536408,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,2010-12-01 11:41:00,3.75,14307,United Kingdom,22.5,2010-12,Wednesday,11
536408,48194,DOORMAT HEARTS,2,2010-12-01 11:41:00,7.95,14307,United Kingdom,15.9,2010-12,Wednesday,11
536408,20685,DOORMAT RED RETROSPOT,2,2010-12-01 11:41:00,7.95,14307,United Kingdom,15.9,2010-12,Wednesday,11
536408,22418,10 COLOUR SPACEBOY PEN,24,2010-12-01 11:41:00,0.85,14307,United Kingdom,20.4,2010-12,Wednesday,11
536409,85099F,JUMBO BAG STRAWBERRY,1,2010-12-01 11:45:00,1.95,17908,United Kingdom,1.95,2010-12,Wednesday,11
536409,22900,SET 2 TEA TOWELS I LOVE LONDON,1,2010-12-01 11:45:00,2.95,17908,United Kingdom,2.95,2010-12,Wednesday,11
536409,21676,FLOWERS  STICKERS,6,2010-12-01 11:45:00,0.85,17908,United Kingdom,5.1,2010-12,Wednesday,11
536409,20966,SANDWICH BATH SPONGE,2,2010-12-01 11:45:00,1.25,17908,United Kingdom,2.5,2010-12,Wednesday,11
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-01 11:45:00,2.1,17908,United Kingdom,2.1,2010-12,Wednesday,11
536409,16238,PARTY TIME PENCIL ERASERS,28,2010-12-01 11:45:00,0.21,17908,United Kingdom,5.88,2010-12,Wednesday,11
536409,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,1,2010-12-01 11:45:00,2.95,17908,United Kingdom,2.95,2010-12,Wednesday,11
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-01 11:45:00,4.95,17908,United Kingdom,4.95,2010-12,Wednesday,11
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,5,2010-12-01 11:45:00,2.1,17908,United Kingdom,10.5,2010-12,Wednesday,11
536409,21678,PAISLEY PATTERN  STICKERS,6,2010-12-01 11:45:00,0.85,17908,United Kingdom,5.1,2010-12,Wednesday,11
536412,21448,12 DAISY PEGS IN WOOD BOX,1,2010-12-01 11:49:00,1.65,17920,United Kingdom,1.65,2010-12,Wednesday,11
536412,21880,RED RETROSPOT TAPE,10,2010-12-01 11:49:00,0.65,17920,United Kingdom,6.5,2010-12,Wednesday,11
536412,22988,SOLDIERS EGG CUP,6,2010-12-01 11:49:00,1.25,17920,United Kingdom,7.5,2010-12,Wednesday,11
536412,22273,FELTCRAFT DOLL MOLLY,2,2010-12-01 11:49:00,2.95,17920,United Kingdom,5.9,2010-12,Wednesday,11
536412,85049E,SCANDINAVIAN REDS RIBBONS,3,2010-12-01 11:49:00,1.25,17920,United Kingdom,3.75,2010-12,Wednesday,11
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2010-12-01 11:49:00,3.75,17920,United Kingdom,7.5,2010-12,Wednesday,11
536412,22274,FELTCRAFT DOLL EMILY,2,2010-12-01 11:49:00,2.95,17920,United Kingdom,5.9,2010-12,Wednesday,11
536412,22940,FELTCRAFT CHRISTMAS FAIRY,3,2010-12-01 11:49:00,4.25,17920,United Kingdom,12.75,2010-12,Wednesday,11
536412,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,1,2010-12-01 11:49:00,4.95,17920,United Kingdom,4.95,2010-12,Wednesday,11
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,2010-12-01 11:49:00,3.75,17920,United Kingdom,7.5,2010-12,Wednesday,11
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,2010-12-01 11:49:00,4.95,17920,United Kingdom,4.95,2010-12,Wednesday,11
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-12-01 11:57:00,0.55,12838,United Kingdom,1.1,2010-12,Wednesday,11
536415,22530,MAGIC DRAWING SLATE DOLLY GIRL,3,2010-12-01 11:57:00,0.42,12838,United Kingdom,1.26,2010-12,Wednesday,11
536415,22149,FELTCRAFT 6 FLOWER FRIENDS,4,2010-12-01 11:57:00,2.1,12838,United Kingdom,8.4,2010-12,Wednesday,11
536415,22551,PLASTERS IN TIN SPACEBOY,3,2010-12-01 11:57:00,1.65,12838,United Kingdom,4.949999999999999,2010-12,Wednesday,11
536415,22736,RIBBON REEL MAKING SNOWMEN,3,2010-12-01 11:57:00,1.65,12838,United Kingdom,4.949999999999999,2010-12,Wednesday,11
536415,22186,RED STAR CARD HOLDER,5,2010-12-01 11:57:00,2.95,12838,United Kingdom,14.75,2010-12,Wednesday,11
536416,21915,RED  HARMONICA IN BOX,72,2010-12-01 11:58:00,1.25,13255,United Kingdom,90.0,2010-12,Wednesday,11
536416,22938,CUPCAKE LACE PAPER SET 6,12,2010-12-01 11:58:00,1.95,13255,United Kingdom,23.4,2010-12,Wednesday,11
536420,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-12-01 12:03:00,1.25,16583,United Kingdom,15.0,2010-12,Wednesday,12
536423,21479,WHITE SKULL HOT WATER BOTTLE,8,2010-12-01 12:08:00,3.75,18085,United Kingdom,30.0,2010-12,Wednesday,12
536425,22637,PIGGY BANK RETROSPOT,12,2010-12-01 12:08:00,2.55,13758,United Kingdom,30.6,2010-12,Wednesday,12
536437,22189,CREAM HEART CARD HOLDER,72,2010-12-01 12:12:00,3.39,13694,United Kingdom,244.08,2010-12,Wednesday,12
