CustomerID,recency_days,frequency,total_quantity,unique_items,monetary,avg_order_value,country
12346,326,1,74215,1,77183.6,77183.6,United Kingdom
12347,2,7,2458,103,4310.0,23.68131868131868,Iceland
12348,75,4,2341,22,1797.24,57.97548387096774,Finland
12349,19,1,631,73,1757.55,24.076027397260273,Italy
12350,310,1,197,17,334.4,19.670588235294115,Norway
12352,36,8,536,59,2506.04,29.482823529411764,Norway
12353,204,1,20,4,89.0,22.25,Bahrain
12354,232,1,530,58,1079.4,18.610344827586207,Spain
12355,214,1,240,13,459.4,35.33846153846154,Bahrain
12356,23,3,1591,53,2811.43,47.65135593220339,Portugal
12357,33,1,2708,131,6207.67,47.38679389312977,Switzerland
12358,2,2,248,13,1168.06,61.47684210526315,Austria
12359,58,4,1609,214,6310.03,25.75522448979592,Cyprus
12360,52,3,1165,105,2662.06,20.63612403100775,Austria
12361,287,1,91,10,189.9,18.99,Belgium
12362,3,10,2229,201,5226.23,19.647481203007516,Belgium
12363,110,2,408,23,552.0,24.0,Unspecified
12364,8,4,1506,70,1313.1,15.448235294117646,Belgium
12365,291,2,174,22,641.38,29.15363636363636,Cyprus
12367,4,1,173,11,168.9,15.354545454545455,Denmark
12370,51,4,2352,143,3541.94,21.33698795180723,Cyprus
12371,45,2,591,63,1887.96,29.96761904761905,Switzerland
12372,72,3,794,34,1298.04,24.962307692307693,Denmark
12373,311,1,197,14,364.6,26.042857142857144,Austria
12374,25,1,342,33,742.9300000000001,22.513030303030305,Austria
12375,11,2,178,14,457.5,26.91176470588235,Finland
12377,315,2,944,72,1628.12,21.144415584415583,Switzerland
12378,130,1,2529,219,4008.62,18.30420091324201,Switzerland
12379,82,2,407,39,852.24,21.306,Belgium
12380,22,4,1127,77,2724.81,26.20009615384615,Belgium
12381,5,5,808,70,1845.31,21.21045977011494,Norway
12383,185,5,1532,84,1850.56,18.69252525252525,Belgium
12384,29,2,126,26,585.27,21.676666666666662,Switzerland
12386,338,2,354,10,401.9,40.19,Australia
12388,16,6,1462,57,2780.66,27.8066,Australia
12390,80,1,353,32,549.84,17.1825,Belgium
12391,22,1,293,92,439.66,4.72752688172043,Cyprus
12393,72,4,816,47,1582.6,24.728125,Australia
12394,64,2,819,26,1272.48,47.12888888888889,Belgium
12395,19,12,2118,91,3018.63,19.350192307692307,Belgium
12397,36,2,1263,110,2409.9,19.126190476190477,Belgium
12398,46,1,1394,85,1635.66,19.24305882352941,Switzerland
12399,119,4,1178,47,1108.65,18.790677966101697,Belgium
12401,303,1,11,5,84.3,16.86,Belgium
12402,323,1,94,11,225.6,20.509090909090908,Belgium
12403,50,1,96,5,427.7000000000001,85.54,Denmark
